show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;cover_url;imdb_id;tmdb_id;tmdb_popularity;tmdb_score;tmdb_votes
tmdb_345887;Movie;The Equalizer 2;Antoine Fuqua;Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean, Bill Pullman, Melissa Leo, Jonathan Scarfe, Sakina Jaffrey, Kazy Tauginas, Garrett Golden;US;2018-07-19;2018;PG-13;121 min;Action, Thriller, Crime;Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.;https://image.tmdb.org/t/p/w500/cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg;tt3766354;345887;7.0863;6.783;5793
tmdb_891477;Movie;Super Time and Space Rescue;Jie Jianqing;Zhou Tingwei, Kenneth Tsang, Ken Lok Tat-Wah, Wei Zhongkai, Edward Gu, Musi Ni, Guo Minger;;2018-09-13;2018;PG-13;0 min;Mystery;;https://image.tmdb.org/t/p/w500/jpNH8gRVxqaoLtLZhQ8XXX56juY.jpg;;891477;7.0753;0.0;0
tmdb_487593;Movie;Irumbu Thirai;P. S. Mithran;Arjun Sarja, Vishal Krishna, Samantha Ruth Prabhu, Delhi Ganesh, Robo Shankar, Vincent Asokan, Kaali Venkat, Vivek Prasanna, Darshana Rajendran, P. S. Mithran;IN;2018-05-11;2018;PG-13;160 min;Action, Thriller;Kathiravan, a major in the Indian army with anger management issues, is compelled by circumstances to borrow a loan from a bank with false documents. When the entire money in the account vanishes, Kathiravan tries to track down the scamsters, and it leads him to White Devil, a master hacker.;https://image.tmdb.org/t/p/w500/5yDCAvDtgJ9q7Fgs7Jy94nhRbV4.jpg;tt7179784;487593;7.0682;6.8;45
tmdb_530254;Movie;The Witch: Part 1. The Subversion;Park Hoon-jung;Kim Da-mi, Cho Min-soo, Park Hee-soon, Choi Woo-shik, Go Min-si, Choi Jung-woo, Oh Mi-hee, Lee Jung-hyoung, Jeong Da-eun, Kim Byeong-ok;HK, KR;2018-06-27;2018;PG-13;126 min;Action, Mystery, Science Fiction;Ja-yoon is a high school student who struggles with memory loss after she endured some unknown trauma during her childhood. While trying to uncover the truth, she is unwittingly dragged into a world of crime and finds herself on a journey that will awaken many secrets hidden deep within.;https://image.tmdb.org/t/p/w500/4i2wo2ja5g2PmUxWa1a2eYIboZf.jpg;tt8574252;530254;7.0667;7.882;695
tmdb_370567;Movie;Sherlock Gnomes;John Stevenson;Johnny Depp, Emily Blunt, James McAvoy, Chiwetel Ejiofor, Mary J. Blige, Stephen Merchant, Michael Caine, Dexter Fletcher, James Hong, Ashley Jensen;GB, US;2018-03-15;2018;PG-13;86 min;Animation, Family, Fantasy, Comedy, Adventure, Mystery;Garden gnomes Gnomeo & Juliet recruit renown detective Sherlock Gnomes to investigate the mysterious disappearance of other garden ornaments.;https://image.tmdb.org/t/p/w500/wqnzpJR3PwS4doVkAkt9seSEpoX.jpg;tt2296777;370567;7.5098;5.747;758
tmdb_689308;Movie;Girlfriend's Sister;Jo Tae-ho;Kim Hee-jeong, Yoon Da-hyeon, Sang Woo, Seok-hwan;KR;2018-10-04;2018;PG-13;70 min;Romance;Minsu at home alone after four hot nights of work. Hye-rim's wife comes to her house with her sister, Su-bin. Until late at night, the three people drink together, and Su-bin sleeps in the house. The next day, Su-bin loves Min-su, and when Hye-rim goes to work, she seduces Min-su and shares the affair. That evening, Minsu came home after work and Su-bin's boyfriend Hyun-soo came. At the drinking party, Su-bin's couple continues to talk sexually, and Min-su is just uncomfortable. However, his wife, Hye-rim, falls in love with a dirty story. In the end, their conversation develops even to swapping...;https://image.tmdb.org/t/p/w500/t0oBWtAQ5g0lZATO9f3F8XjAee6.jpg;;689308;7.0338;6.0;0
tmdb_467824;Movie;Illang: The Wolf Brigade;Kim Jee-woon;Gang Dong-won, Han Hyo-joo, Kim Moo-yul, Jung Woo-sung, Huh Joon-ho, Han Yeri, Minho, Shin Eun-soo, Jung Won-joong, Lee Dong-ha;HK, JP, KR;2018-07-25;2018;PG-13;138 min;Science Fiction, Action, Thriller, Drama;In 2029, an elite police squad combats an anti-reunification terrorist group while another enemy lurks nearby.;https://image.tmdb.org/t/p/w500/71JMWqNDRz2Au59JYosfn5W8nuS.jpg;tt3967878;467824;7.1631;6.274;319
tmdb_482121;Movie;Kids on the Slope;Takahiro Miki;Yuri Chinen, Taishi Nakagawa, Nana Komatsu, Dean Fujioka, Baijaku Nakamura, Erina Mano, Yorie Yamashita, Hokuto Matsumura, Toru Nomaguchi;JP;2018-03-10;2018;PG-13;120 min;Drama, Music, Romance;Two different students—a successful but aloof academic and a rebellious but kindhearted delinquent—form a friendship through their love of jazz music.;https://image.tmdb.org/t/p/w500/kuYhUxClXUGDChQEPEdPcyE7jBW.jpg;tt6835804;482121;7.1399;7.313;32
tmdb_480603;Movie;The Lullaby;Darrell James Roodt;Reine Swart, Deanre Reiners, Thandi Puren, Brandon Auret, Dorothy Ann Gould, Shayla-Rae McFarlane, Eckardt Spies, Amjoné Spies, Samuel Frauenstein, Briony Horwitz;ZA;2018-01-27;2018;PG-13;86 min;Horror;Returning to her home town, overwhelmed by the birth of her firstborn, nineteen-year-old Chloe van Heerden tries to come to terms with motherhood. Despite the support from her own mother, Chloe struggles with the demands of caring for a newborn child. The incessant crying of her baby, the growing sense of guilt and paranoia send her into a dark depression. With a heightened urge to protect her son, she sees danger everywhere.;https://image.tmdb.org/t/p/w500/anYYzYYUgoEYsMnITf3LOUnKnLC.jpg;tt6149936;480603;7.1193;5.855;69
tmdb_345887;Movie;The Equalizer 2;Antoine Fuqua;Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean, Bill Pullman, Melissa Leo, Jonathan Scarfe, Sakina Jaffrey, Kazy Tauginas, Garrett Golden;US;2018-07-19;2018;PG-13;121 min;Action, Thriller, Crime;Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.;https://image.tmdb.org/t/p/w500/cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg;tt3766354;345887;7.0863;6.783;5794
tmdb_891477;Movie;Super Time and Space Rescue;Jie Jianqing;Zhou Tingwei, Kenneth Tsang, Ken Lok Tat-Wah, Wei Zhongkai, Edward Gu, Musi Ni, Guo Minger;;2018-09-13;2018;PG-13;0 min;Mystery;;https://image.tmdb.org/t/p/w500/jpNH8gRVxqaoLtLZhQ8XXX56juY.jpg;;891477;7.0753;0.0;0
tmdb_1409548;Movie;Beautiful Mature Woman: Countryside Affairs;Tetsuya Takehora;Shiraki Yuko, Ryota Kinami, Mirei Yokoyama, Naomichi Mizuno, Yoshitaka Hosokawa, Shin'ya Orikasa, Atsushi Tsuda, Kenji Iwaya;JP;2018-11-30;2018;PG-13;81 min;Drama;The Nagasaki family consists of four people: the parents and twin siblings. That night, the three except for the father and Kajitsu were relaxing in the living room, while Kajitsu went to a brothel to commemorate the end of his life as an office worker. Exhausted by human relationships, Kajitsu wanted to build everything from scratch, so he decided to move to the countryside. Meanwhile, his wife Hiromi was having an affair with the mediocre actor Fuji Ikuma, but she broke up with him, thinking it was a good opportunity to have the ideal affair. Hiromi is what the world calls a beautiful witch. She thought there must be someone more suitable for her than a man like Ikuma.;https://image.tmdb.org/t/p/w500/8158SWJ5olWxp4b2BQOuv8WcDLg.jpg;tt9529456;1409548;7.0732;3.5;2
tmdb_487593;Movie;Irumbu Thirai;P. S. Mithran;Arjun Sarja, Vishal Krishna, Samantha Ruth Prabhu, Delhi Ganesh, Robo Shankar, Vincent Asokan, Kaali Venkat, Vivek Prasanna, Darshana Rajendran, P. S. Mithran;IN;2018-05-11;2018;PG-13;160 min;Action, Thriller;Kathiravan, a major in the Indian army with anger management issues, is compelled by circumstances to borrow a loan from a bank with false documents. When the entire money in the account vanishes, Kathiravan tries to track down the scamsters, and it leads him to White Devil, a master hacker.;https://image.tmdb.org/t/p/w500/5yDCAvDtgJ9q7Fgs7Jy94nhRbV4.jpg;tt7179784;487593;7.0682;6.8;45
tmdb_530254;Movie;The Witch: Part 1. The Subversion;Park Hoon-jung;Kim Da-mi, Cho Min-soo, Park Hee-soon, Choi Woo-shik, Go Min-si, Choi Jung-woo, Oh Mi-hee, Lee Jung-hyoung, Jeong Da-eun, Kim Byeong-ok;HK, KR;2018-06-27;2018;PG-13;126 min;Action, Mystery, Science Fiction;Ja-yoon is a high school student who struggles with memory loss after she endured some unknown trauma during her childhood. While trying to uncover the truth, she is unwittingly dragged into a world of crime and finds herself on a journey that will awaken many secrets hidden deep within.;https://image.tmdb.org/t/p/w500/4i2wo2ja5g2PmUxWa1a2eYIboZf.jpg;tt8574252;530254;7.0667;7.882;695
tmdb_575415;Movie;Oh My Ghost 6;Poj Arnon;Jaturong Mokjok, Channarong Khuntee-tao, Ekkachai Srivichai, Jaroenporn Onlamai, Wiradit Srimalai, Thongthong Mokjok, Jennie Panhan, Ruengyos Srisorodsakul, Krittidech Somton, Chalad Na Songkhla;TH;2018-12-04;2018;PG-13;103 min;Comedy, Horror;Taew and friends are invited to a mansion which the mansion owner is choosing the new landlord. To win the mansion award, they have to dress up in Indian clothes and pretend to be Indian. At that place, a case of murder is committed, and they are trapped in the mansion.;https://image.tmdb.org/t/p/w500/gE86u6Ii6fFrN36II5mvqa07vv0.jpg;tt9685890;575415;7.034;6.0;1
tmdb_689308;Movie;Girlfriend's Sister;Jo Tae-ho;Kim Hee-jeong, Yoon Da-hyeon, Sang Woo, Seok-hwan;KR;2018-10-04;2018;PG-13;70 min;Romance;Minsu at home alone after four hot nights of work. Hye-rim's wife comes to her house with her sister, Su-bin. Until late at night, the three people drink together, and Su-bin sleeps in the house. The next day, Su-bin loves Min-su, and when Hye-rim goes to work, she seduces Min-su and shares the affair. That evening, Minsu came home after work and Su-bin's boyfriend Hyun-soo came. At the drinking party, Su-bin's couple continues to talk sexually, and Min-su is just uncomfortable. However, his wife, Hye-rim, falls in love with a dirty story. In the end, their conversation develops even to swapping...;https://image.tmdb.org/t/p/w500/t0oBWtAQ5g0lZATO9f3F8XjAee6.jpg;;689308;7.0338;6.0;0
tmdb_440626;Movie;Sobibor;Konstantin Khabenskiy;Konstantin Khabenskiy, Christopher Lambert, Michalina Olszańska, Felice Jankell, Mariya Kozhevnikova, Dainius Kazlauskas, Philippe Reinhardt, Maximilian Dirr, Mindaugas Papinigis, Wolfgang Cerny;RU;2018-05-03;2018;PG-13;110 min;War, Drama;The film is based on a real story that happened in 1943 in the Sobibor concentration camp in German-occupied Poland. The main character of the movie is the Soviet-Jewish soldier Alexander Pechersky, who at that time was serving in the Red Army as a lieutenant. In October 1943, he was captured by the Nazis and deported to the Sobibor concentration camp, where Jews were being exterminated in gas chambers. But, in just 3 weeks, Alexander was able to plan an international uprising of prisoners from Poland and Western Europe. This uprising resulted in being the only successful one throughout the war, which led to the largest escape of prisoners from a Nazi concentration camp.;https://image.tmdb.org/t/p/w500/dnexT2if0lRTp8jsGSOY4JVAnnj.jpg;tt6324614;440626;7.0335;6.562;325
tmdb_474538;Movie;The Blood of Wolves;Kazuya Shiraishi;Koji Yakusho, Tori Matsuzaka, Yoko Maki, Kenichi Takitoh, Takuma Otoo, Joey Iwanaga, Junko Abe, Yosuke Eguchi, Gorō Ibuki, Hajime Inoue;JP;2018-05-12;2018;PG-13;126 min;Crime, Thriller, Drama, Horror;Set in 1988 in Hiroshima, Japan, prior to the enactment of the anti-organized crime law. A rumor exists that Detective Shogo Ogami has ties with the yakuza. He is partnered with Detective Shuichi Hioka and they investigate a missing person case involving a financial company employee. Conflicts between opposing yakuza groups become more serious.;https://image.tmdb.org/t/p/w500/gpMqk6o8mT3bQSRez1Y04bd6dua.jpg;tt6622902;474538;7.0289;7.214;35
tmdb_509351;Movie;Million Dollar Man;Keishi Otomo;Takeru Satoh, Issey Takahashi, Erika Sawajiri, Tatsuya Fujiwara, Haru Kuroki, Kazuki Kitamura, Elaiza Ikeda, Shiho Sasaki;JP;2018-10-19;2018;PG-13;116 min;Drama;A man, who is repaying a 30 million yen debt left by his brother, wins the 300 million yen lottery. He grapples with the question of whether money can buy him happiness.;https://image.tmdb.org/t/p/w500/108lF5OsaWKgVptHWUemhjrr73T.jpg;tt7754284;509351;7.028;6.0;8
tmdb_513349;Movie;The Factory;Yury Bykov;Denis Shvedov, Andrey Smolyakov, Vladislav Abashin, Ivan Yankovsky, Aleksandr Bukharov, Aleksey Komashko, Aleksandr Bashirov, Dmitriy Kulichkov, Andrey Kharybin, Yuriy Loparyov;RU, FR;2018-09-07;2018;PG-13;109 min;Thriller, Drama, Crime;When a factory is bound to close, a group of workers decides to take action against the owner.;https://image.tmdb.org/t/p/w500/xWUPJmVA93U8QpzaUIqcR2iCeyG.jpg;tt5966602;513349;7.0238;6.203;86
tmdb_689819;Movie;The Race;Iván Noel;Axel Casas, Emanuel Renzini, Alejandra Visintini, Emma Capellino, Ambar Luciana Samudio Luraschi, Katya Castro, Donatella Coloneri, Marcos Benicio Maturano, Roman Martinez, Santino Pettina;AR;2018-10-28;2018;PG-13;8 min;Drama;A father urges his son not to disgrace him by failing to come first in a race.;https://image.tmdb.org/t/p/w500/eVmsyUUQpspOV03bw8tDdsAk8l1.jpg;tt9354076;689819;7.0106;3.0;1
tmdb_477036;Movie;The Sonata;Andrew Desmond;Freya Tingley, Simon Abkarian, James Faulkner, Rutger Hauer, Catherine Schaub-Abkarian, Matt Barber, Christopher Brand, James Kermack, Myster Jo, Laine Ligere Stengrévica;RU, FR, GB, LV;2018-11-15;2018;PG-13;88 min;Horror, Thriller, Mystery;After a gifted musician inherits a mansion after her long lost father dies under mysterious circumstances, she discovers his last musical masterpiece riddled with cryptic symbols that unravels an evil secret, triggering dark forces that reach beyond her imagination.;https://image.tmdb.org/t/p/w500/iiL3AWKPx6GIZN6AmmSq7pbtyc.jpg;tt7149066;477036;7.008;4.831;62
tmdb_525050;Movie;Chronicle of the After-School Wars;Junpei Tsuchida;Narumi Akizuki, Kokoro Aoshima, Nina Endô, Miori Ichikawa, Minako Inoue, Saya Kataoka, Miku Katô, Arisa Komiya, Misa Kubota, Haruka Mihashi;JP;2018-04-07;2018;PG-13;115 min;Horror, Drama;It is not Tag. It is not Battle Royale. It is Battle Royale Tag. Sena walks up to the school rooftop to return Yudachi's handkerchief. Yudachi is not there and Sena falls asleep waiting. It is dark, she is confined and locked up at her school when Sena wakes up. The school has turned bloody red and the girls have to fight to the death. Who will survive the carnage is up to the girls.;https://image.tmdb.org/t/p/w500/gwzBAgaLOotShsTrvVd7zcZk1ha.jpg;tt8016032;525050;6.992;4.2;6
tmdb_540765;Movie;App War;Yanyong Kuruaungkoul;Nat Kitcharit, Prariyapit Yu, Patchanan Jiajirachote, Sirat Intarachote, Thanapop Yoovijit, Ticha Wongtipkanon, Apiwich Reardon, Thanwa Jumpapha, Jarnnawut Jarnyaharn, Chutharat Boonjindamanee;TH;2018-08-01;2018;PG-13;130 min;Comedy, Romance;Two like-minded app entrepreneurs discover that the apps they're developing are similar, and the pair fight tooth and nail to come out on top. Meanwhile, sparks begin to fly between the two rivals.;https://image.tmdb.org/t/p/w500/zmo8ebW89tSg9jdwB1C0Ebmnfgx.jpg;tt8733014;540765;6.9835;6.8;11
tmdb_529569;Movie;The Witness;Cho Kyu-jang;Lee Sung-min, Kim Sang-ho, Jin Kyung, Kwak Si-yang, Bae Jung-hwa, Shin Seung-hwan, Jung Yoo-min, Yeon Je-wook, Hwang Young-hee, Son Jong-hak;KR;2018-08-15;2018;PG-13;111 min;Thriller, Crime;An ordinary man witnesses a cruel murder and becomes entangled in circumstances out of his control.;https://image.tmdb.org/t/p/w500/fxLYTY9HsnZtscMrKwkSG5PDww4.jpg;tt8865562;529569;6.9765;6.723;101
tmdb_490611;Movie;The Gift;Hanung Bramantyo;Reza Rahadian, Ayushita Nugraha, Dion Wiyoko, Christine Hakim, Tuminten, Vania Valencia, Romaria Simbolon, Annisa Hertami, Rukman Rosadi, Rinaldy Zulkarnain;ID;2018-05-24;2018;PG-13;116 min;Drama;When novelist Tiana falls in love with a visually impaired Harun on her 30th birthday, little she knew that her childhood friend, Arie, now an established surgeon, was going to propose to her on the same day. What unfolds thereafter is three humans beings endeavor to redefine love and human disability.;https://image.tmdb.org/t/p/w500/Z3FOlc7MIJdPwM0Zk9oKxs5gSk.jpg;tt8474974;490611;6.9559;0.0;0
tmdb_496243;Movie;Parasite;Bong Joon Ho;Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Lee Jung-eun, Chang Hyae-jin, Park Myung-hoon, Jung Zi-so, Jung Hyeon-jun;KR;2019-05-30;2019;PG-13;133 min;Comedy, Thriller, Drama;All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.;https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg;tt6751668;496243;22.5214;8.495;20009
tmdb_429617;Movie;Spider-Man: Far From Home;Jon Watts;Tom Holland, Jake Gyllenhaal, Samuel L. Jackson, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii;US;2019-06-28;2019;PG-13;129 min;Action, Adventure, Science Fiction;Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.;https://image.tmdb.org/t/p/w500/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg;tt6320628;429617;19.1803;7.397;16616
tmdb_615453;Movie;Ne Zha;Jiao Zi;Lu Yanting, Joseph, Han Mo, Chen Hao, Lu Qi, Zhang Jiaming, Yang Wei, He Yuxiang, Ren Junpeng, Da Hai;CN;2019-07-26;2019;PG-13;110 min;Animation, Fantasy, Adventure;A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.;https://image.tmdb.org/t/p/w500/phM9bb6s9c60LA8qwsdk7U1N2cS.jpg;tt10627720;615453;18.0398;7.9;780
tmdb_299534;Movie;Avengers: Endgame;Anthony Russo, Joe Russo;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Josh Brolin, Don Cheadle, Paul Rudd, Benedict Cumberbatch;US;2019-04-24;2019;PG-13;181 min;Adventure, Science Fiction, Action;After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.;https://image.tmdb.org/t/p/w500/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg;tt4154796;299534;17.5082;8.237;27168
tmdb_475557;Movie;Joker;Todd Phillips;Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais;CA, US;2019-10-01;2019;PG-13;122 min;Crime, Thriller, Drama;During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.;https://image.tmdb.org/t/p/w500/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg;tt7286456;475557;17.2181;8.129;27210
tmdb_546554;Movie;Knives Out;Rian Johnson;Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, LaKeith Stanfield, Christopher Plummer, Katherine Langford;US;2019-11-27;2019;PG-13;131 min;Comedy, Crime, Mystery;When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.;https://image.tmdb.org/t/p/w500/pThyQovXQrw2m0s9x82twj48Jq4.jpg;tt8946378;546554;15.2138;7.844;13578
tmdb_466272;Movie;Once Upon a Time... in Hollywood;Quentin Tarantino;Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley, Timothy Olyphant, Julia Butters, Austin Butler, Dakota Fanning, Bruce Dern;CN, GB, US;2019-07-24;2019;PG-13;162 min;Comedy, Drama, Thriller;Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…;https://image.tmdb.org/t/p/w500/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg;tt7131622;466272;13.66;7.4;14465
